Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PetID,PhotoAmt,SentimentScore,SentimentMagnitude,HasName,DescWordCount,IsMixedBreed,AgeBin,IsFree,TotalMultimedia,SentimentImpact,AdoptionSpeed
1,1,307,0,3,2,7,0,2,2,2,2,2,1,7,0,12,0,2eb4fa594,5,0.6,2.5,1,55,1,0,1,5.0,1.5,3
1,2,307,307,2,2,7,0,2,2,2,1,2,1,1,0,12,0,ce768b010,3,0.0,0.0,1,2,1,0,1,3.0,0.0,3
2,1,266,266,3,1,4,7,2,1,2,2,3,1,3,0,12,0,3d889fe46,2,0.0,0.2,1,27,0,0,1,2.0,0.0,3
1,2,103,307,2,1,2,0,2,2,2,2,2,1,1,0,12,0,6366dd2f9,1,0.0,0.0,1,10,1,0,1,1.0,0.0,2
1,2,307,0,3,2,4,7,1,1,3,3,3,1,3,0,8,1,14bbc5876,3,0.2,1.7,1,30,1,0,1,4.0,0.34,4
2,3,266,265,3,3,6,7,1,1,2,2,2,1,3,0,12,0,55f34f8f5,12,0.4,1.7,1,83,1,0,1,12.0,0.68,2
1,1,307,0,3,1,2,7,2,1,2,2,2,1,5,0,12,0,2469e58fd,6,0.4,1.2,0,21,1,0,1,6.0,0.48,4
2,3,265,266,1,1,6,7,1,2,2,1,2,1,2,0,9,0,db10909d5,2,0.0,0.0,1,5,1,0,1,2.0,0.0,2
1,2,307,189,1,1,0,0,2,2,1,1,2,1,1,150,3,0,fd740c8dc,4,-0.1,1.7,1,62,1,0,0,4.0,-0.17,1
2,4,266,0,3,2,6,7,1,1,2,2,2,1,2,0,3,0,9daaa4e8f,4,0.7,0.7,1,4,0,1,1,4.0,0.48999999999999994,4
1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,3,0,d50e11ec5,2,0.4,1.7,1,23,1,0,1,2.0,0.68,3
1,2,218,307,1,1,7,0,2,1,2,1,2,1,1,0,12,0,51398fac1,3,0.2,3.2,1,85,1,0,1,3.0,0.6400000000000001,3
1,48,205,0,1,1,0,0,1,2,1,1,2,1,1,0,3,0,bb05c1ce8,0,-0.3,0.8,0,31,0,2,1,0.0,-0.24,1
2,1,266,0,3,1,4,7,2,1,2,2,2,1,2,0,8,0,8c7949266,5,0.3,2.7,1,64,0,0,1,5.0,0.81,2
2,2,266,0,1,2,0,0,1,1,2,2,2,1,1,0,12,0,6cd1cac68,2,-0.1,0.1,1,8,0,0,1,2.0,-0.010000000000000002,3
2,1,266,0,3,2,4,7,1,1,2,2,2,1,4,0,3,0,991b35363,5,0.4,1.9,0,19,0,0,1,5.0,0.76,3
2,6,265,0,2,2,4,7,1,2,1,1,1,1,1,0,3,0,2ea365a6f,2,0.3,0.3,1,7,0,1,1,2.0,0.09,4
2,2,265,266,1,6,7,0,2,2,2,1,2,1,1,50,12,0,d17892c89,11,0.2,5.5,1,148,1,0,0,11.0,1.1,2
1,1,307,0,3,1,2,0,2,1,1,1,2,1,5,0,12,0,694cc5569,12,0.1,3.4,1,152,1,0,1,12.0,0.34,3
2,2,266,0,1,1,7,0,1,1,3,3,2,1,1,0,12,0,e5b7f6fbe,2,-0.3,0.3,1,7,0,0,1,2.0,-0.09,2
2,1,265,0,2,2,5,7,2,2,2,2,2,1,1,0,0,0,4a2ecd24c,2,0.3,0.6,1,15,0,0,1,2.0,0.18,1
1,1,307,307,2,4,0,0,2,1,2,2,2,1,1,0,9,0,f4a6e9cec,1,0.1,0.4,1,23,1,0,1,1.0,0.04000000000000001,1
1,1,307,0,2,1,2,0,2,1,3,3,2,1,1,0,12,0,fb507a1cb,3,0.3,1.2,1,21,1,0,1,3.0,0.36,3
1,2,307,0,2,1,2,7,2,1,2,1,2,1,1,0,12,3,20bf4bf39,5,0.3,2.1,1,63,1,0,1,8.0,0.63,1
1,19,141,0,1,2,0,0,3,1,1,1,1,1,1,0,12,0,0058586f1,3,0.8,4.1,1,52,0,2,1,3.0,3.28,4
2,4,266,0,2,1,7,0,2,1,2,2,2,1,1,0,12,1,059a68bf0,8,0.1,3.9,1,145,0,1,1,9.0,0.39,4
1,24,182,0,2,1,2,0,1,1,1,1,1,1,1,0,3,0,ec15875ea,5,0.6,2.5,1,71,0,2,1,5.0,1.5,3
2,3,249,0,1,1,0,0,2,2,1,1,2,1,1,0,12,0,47dda9537,3,0.0,3.6,1,99,0,0,1,3.0,0.0,4
1,3,128,307,2,1,2,7,2,2,1,1,2,1,1,0,12,2,763264fa2,8,0.0,7.5,1,343,1,0,1,10.0,0.0,3
